,text
0,"@Av3rage_Us3r What's your favorite Batman movie in the animated universe, mines the dark night returns"
1,Batman : The dark night returns #3 (août 1986) par Frank Miller et Klaus Janson #Comics https://t.co/vz2r4rhWvO
2,"@donkeykongdec Hot take. This batman was...OK. ""Nolan verse"" was eh aside heath ledger as joker. I'm more a batman('89) and batman returns with Keaton as batman fan. The only thing that tops that is the animated series with Conroy (may he rest in peace) as the vocal role as the dark night."
3,"@AidanJohnMoffat In the Dark Knight Returns book, he talks about the reason he has a big bat symbol on his chest is because it makes a target, and that’s where all his strong bullet proofing is. I think that’s it anyway. Ps bloody great film, watched it last night! Crime thriller in a batman film"
4,"@EllipseEnt Aliens, superman 2 , Batman Returns, The Dark Night,House 2,Friday The Thirteenth 2."
5,"@berry_deep @thetevinator @Jason_Got_Jokes @IdleTalk12 @illumimommie @neilbelieves @JulianaBall1 @AgainReisa @StevenHeynow @DanielB42739700 @DVD_Daddy @WillPheesh @ihateclaims @GermanERojo @WARPIG6666 @JKYayer @QSpragoo 🌠A Serious Man  🌠The Matrix Ressurections
🌠Batman :The Dark Night Returns  🌠National Lampoon’s Christmas Vacation https://t.co/GMchRXK7Jo"
6,"@jpalmiotti @Sikeba_gt @ZachisSkinny Heck, why not make a Superman movie, with Cavill, like Frank Millers old timer Batman The Dark Night Returns. Watching society falling to pieces, and then make a comeback to restore some of it."
7,"Tambah tidak bisa tidur.
Tpi Michael keaton masih trlalu Bugar klo mau jadi Bruce di Batman Beyond
Tpi pas jadi Bruce Wayne di Batman the dark night returns https://t.co/oMxT89zvPm https://t.co/eL1peqSrLb"
8,@SittinSideways0 @nerdismsbegins @Lovelar23 @CultureCrave @elmayimbe Ben Aflac is the dark night returns Batman type old keeton is correct age for Batman beyond
9,Batman: The Dark Night Return😅 ou Inception https://t.co/T1bAx0Vt0n
10,@jaimonjahn @CultureCrave @Variety At least burton made a comic book movie with comic book characters. The dark night is a thriller that happens to feature Batman. I’m not saying I don’t like the dark knight but I do prefer Batman returns. And Batman 1989 still has the best version of joker outside of animation
11,"@evleynn cobra kai 
Karate kid trilogy 
Record of Ragnarok 
Spiderman no way home 
Spectacular Spiderman 
All star superman (movie or book) 
Superman Man of Tommorow 
Jurassic park
Black panther 
End game 
Infinity war 
The classic Adams family 
Batman:The dark night return"
12,"@LeCinephiles Here's my Favorite Superhero/Comic Movies: Part 1. The Crow (1994), Batman (1989), Batman Returns (1992), Batman Forever (1995), Batman and Robin (1997), The Dark Night (2008), Spiderman (2002), Spiderman 2 (2004), Spiderman: Into the Spidie-Verse (2018), Black Panther (2018)"
13,"@theonetimfrom91 @KenergyCole @tigianpage Yeah, Absolutely. He could be a great Bruce Wayne for ""Batman Beyond"" or Miller's ""Return Of The Dark Night"""
14,Micheal keaton batman the dark night returns imagine
15,"@Vicsage1984 Well, to be fair, neither batman returns nor the dark night rises were based on comic lines, just comic book characters. Everyone felt a bit OOC to their comic counterpart. So, unfortunately, she didn't have much competition in comic accuracy for live action."
16,@mmpadellan Both Tim Burton’s followup Batman Returns and Christopher Nolan’s The Dark Night https://t.co/GYQuBW6Ak5
17,"Ranking de Filmes Do Batman:
Batman (1966): 6,0
Batman (1989): 8,0
Batman Returns (1992): 7,0
Batman Forever (1995): 5,0
Batman &amp; Robin (1997): 4,5
Batman Bengins (2005): 8,0
Batman: The Dark Night (2008): 10,0
Batman The Dark Night Rises (2012): 7,5
The Lego Batman (2017): 7,0+"
18,"This week on movie night, the boys and I discuss the Dark Knight Returns animated movie (Part 1 and 2). See you live at 6pm est. 

Link: https://t.co/7P1H3liQtx

#DarkKnightReturns #Batman #animation https://t.co/qxlO903ijH"
19,Isn’t this what batman used in the dark night returns https://t.co/8dxPx7vmBP
20,@nightwaynes Another good one is the Batman and Superman fight on The Dark Night Returns
21,"🤔Say what you want about Frank Millar's storylines...the man has to write some fantastic, poetic soliloquies in his Batman books, from Bruce asking his father how to put fear into criminals in year one, to Bruce describing the bat in The Dark Night Returns."
22,"So umm as i mentioned last night i watched Batman: The Dark Knight Returns Part 2.

This is one of the characters, Bruno. I was kind of shocked when she appeared on screen at first tbh. But DC likes being more ‘edgy’. So i guess *azi symbols on the *its goes? https://t.co/zKUEt0STaL"
23,Le plans de Batman the dark night returns  c trop les émotions https://t.co/36Sl3dq4Ji
24,"Rewatched The Dark Knight Returns last night in a flu ridden stupor. How did nobody guess Bruce Wayne was The Batman? Batman goes! Bruce Wayne goes. Batman back! Bruce Wayne… also, back."
25,"The Dark Night Rise 8,0
Batman Returns 8,0
Batman Forever 5,5
Batman VS Superman 4,5 https://t.co/ADdZiifQFF"
26,"@clownprince_86 Mi Top 10 de cine #DC !

1. The dark night 
2. Zack Snyder Justice League
3. Batman V Supermán
4. Joker
5. The Dark Knight Rises
6. Man of steel
7. Batman Return’s 
8. Watchmen
9. Batman Begins
10.Batman 89
Que opinas?"
27,"Finished Bat-tober last night. We watched ""The Dark Knight Returns Part 2"". (Saw Part 1 on Thursday). We had a bonus watch of The Batman. They did TDKR inspired episode. So we watched it to see all the Easter Eggs."
28,"Batman Returns 
The Dark Night Rises 
Spider-Man 2 https://t.co/wpdZ57krLR"
29,"My boyfriend’s hbo Max continue watching: 
The Lego Batman movie
Batman the dark night returns 
Batman assault on arkham
Batman the animated series
Justice league
The rehearsal
The Batman"
30,"@Princesamexica5 En el comic ""the dark night returns"", Bruce vuelve a ponerse la capa ante una oleada de crimen en ciudad gótica, en ese entonces ya tiene 50 años, ya es un Batman algo cansado pero mucho más severo y violento que antes."
31,@Batman_GothamBW The dark night returns
32,"@JaQuzziJones @GRCinemaTicket @hyde68030023 It's a tough one lol. It depends on the mood. I'll still watch Batman Returns now and again. I have the dark night trilogy in ultra hd though, so those ones probably get the most play lol."
33,@Batman_GothamBW Batman Año Uno - Una muerte en la familia - The dark night returns
34,"Hey Everyone, up for review today is the McFarlane Toys DC Multiverse Carrie Kelley Robin  from the comic\film Batman:The Dark Night Returns.
#mcfarlanetoys #batman #robin #dcmultiverse #carriekelley #darkknightreturns #actionfigures #toyreview #dccomics 

https://t.co/jLplAwNN4q https://t.co/7VLN0Quxrc"
35,"Hey Everyone, up for review today is the McFarlane Toys DC Multiverse Carrie Kelley Robin  from the comic\film Batman:The Dark Night Returns.
#mcfarlanetoys #batman #robin #dcmultiverse #carriekelley #darkknightreturns #actionfigures #toyreview #dccomics 

https://t.co/5uQ5bxEQ0k https://t.co/4hyM1kmAgD"
36,"@inkypyrite @Guslivesagain On the cowl I kinda agree, but it fits Ben affleck face, the bat symbol is supposed to be big, imagine gonna fight criminals at night and you have a microscopic symbol, it also matches affleck Batman physique, he’s supposed to be the Batman from the dark knight returns, it works"
37,"@Asr94David @YoleocomicsDC La clave de la pelea entre Batman y Superman, que va a la esencia de los dos personajes en ""The dark night returns"" elevado a un épica única, se transforma en una excusa ridícula. Se pudo haber hecho bien, pero se perdió la oportunidad para DC."
